COUNTY,TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ALAMANCE,1096,46,67,70,91,105,114,76,92,126,139,86,84
ALEXANDER,169,12,6,11,13,17,23,20,8,15,11,20,13
ALLEGHANY,78,1,6,2,8,13,10,7,11,7,10,3,0
ANSON,94,4,6,8,10,6,16,10,7,6,11,5,5
ASHE,167,4,4,2,16,16,22,20,23,22,20,7,11
AVERY,120,10,5,4,6,13,6,11,15,19,17,6,8
BEAUFORT,275,8,11,22,22,25,31,22,15,26,39,24,30
BERTIE,53,1,3,3,7,9,7,4,2,5,6,2,4
BLADEN,155,8,4,16,15,19,20,8,15,11,17,13,9
BRUNSWICK,834,29,32,48,77,98,97,77,90,63,113,62,48
BUNCOMBE,2757,89,101,159,211,300,298,209,258,354,420,214,144
BURKE,487,17,29,42,43,51,61,34,44,52,60,34,20
CABARRUS,1483,66,78,109,139,143,123,93,124,166,203,133,106
CALDWELL,463,12,22,43,40,50,52,40,41,53,49,32,29
CAMDEN,59,2,7,4,6,10,6,8,2,2,7,1,4
CARTERET,500,23,27,29,43,58,69,49,43,35,50,42,32
CASWELL,84,5,2,5,7,11,8,7,7,10,11,5,6
CATAWBA,948,33,50,62,87,104,119,85,63,95,113,67,70
CHATHAM,298,12,21,21,33,40,29,21,13,32,27,29,20
CHEROKEE,244,11,12,16,19,18,36,20,26,23,27,20,16
CHOWAN,65,3,3,5,4,7,6,6,2,7,8,9,5
CLAY,75,1,5,5,4,6,8,9,4,9,13,9,2
CLEVELAND,615,23,32,49,59,70,68,50,47,68,63,50,36
COLUMBUS,280,9,16,19,28,30,29,16,23,21,44,28,17
CRAVEN,751,44,53,73,69,58,69,65,73,50,80,53,64
CUMBERLAND,3445,206,242,299,305,350,314,293,309,272,301,274,280
CURRITUCK,443,7,8,23,40,61,41,48,51,73,54,21,16
DARE,956,10,15,27,61,164,149,95,106,142,144,28,15
DAVIDSON,875,39,49,59,79,96,83,53,71,107,112,79,48
DAVIE,277,5,11,17,29,26,34,22,27,35,36,14,21
DUPLIN,280,13,28,19,37,24,38,13,23,9,21,31,24
DURHAM,2026,83,94,168,205,213,198,165,199,215,277,157,52
EDGECOMBE,243,5,11,19,19,29,28,19,26,28,27,20,12
FORSYTH,2287,109,118,176,210,221,242,170,214,260,265,156,146
FRANKLIN,334,14,12,23,40,25,32,31,29,29,50,26,23
GASTON,1446,49,77,136,139,129,150,101,113,160,170,127,95
GATES,71,2,3,4,3,9,6,4,7,12,8,5,8
GRAHAM,73,3,2,4,7,6,10,5,6,10,10,4,6
GRANVILLE,263,10,8,8,26,36,18,22,29,32,36,18,20
GREENE,75,6,8,0,3,11,8,6,9,4,7,7,6
GUILFORD,3105,123,150,241,287,324,298,248,266,354,354,243,217
HALIFAX,247,12,19,13,18,23,34,24,26,26,26,15,11
HARNETT,666,28,43,58,67,67,56,62,56,55,88,45,41
HAYWOOD,576,16,18,27,42,69,69,56,49,73,81,43,33
HENDERSON,703,17,35,44,49,67,92,67,55,86,105,43,43
HERTFORD,98,0,5,5,8,19,8,6,10,10,11,7,9
HOKE,278,4,20,27,26,23,24,32,24,18,26,26,28
HYDE,15,0,0,3,1,2,1,2,0,4,1,0,1
IREDELL,1142,49,37,77,111,136,119,77,89,127,151,77,92
JACKSON,291,7,12,25,21,35,27,21,20,24,49,27,23
JOHNSTON,1136,40,51,96,89,116,110,86,96,113,132,123,84
JONES,26,1,2,3,1,3,5,4,3,1,1,1,1
LEE,464,17,34,33,35,48,41,47,48,29,66,33,33
LENOIR,239,10,14,26,24,21,36,19,18,21,13,20,17
LINCOLN,582,18,27,37,54,65,73,53,42,61,61,47,44
MCDOWELL,283,14,23,25,24,30,22,16,30,26,31,20,22
MACON,372,26,19,20,30,35,45,25,36,45,49,19,23
MADISON,170,7,17,13,14,20,16,9,12,26,18,8,10
MARTIN,123,3,7,5,12,13,14,11,13,14,12,10,9
MECKLENBURG,6808,310,339,517,642,699,666,522,612,692,798,569,442
MITCHELL,107,5,3,13,7,8,10,12,11,15,11,8,4
MONTGOMERY,133,8,7,7,15,4,13,7,17,14,21,16,4
MOORE,501,15,26,28,43,50,60,37,53,50,66,37,36
NASH,504,17,24,32,50,57,59,37,55,51,52,33,37
NEW HANOVER,1824,63,85,110,209,203,194,140,149,147,242,167,115
NORTHAMPTON,51,1,2,4,6,4,9,4,5,7,4,4,1
ONSLOW,2650,182,206,217,236,214,261,254,278,171,240,191,200
ORANGE,818,33,33,50,87,97,97,61,70,81,97,50,62
PAMLICO,51,0,5,4,3,5,7,4,6,9,5,1,2
PASQUOTANK,254,16,11,19,26,22,28,20,19,19,27,22,25
PENDER,238,11,13,12,31,26,26,27,20,16,19,20,17
PERQUIMANS,63,4,3,3,6,7,8,3,1,6,9,6,7
PERSON,181,4,6,12,21,15,30,16,15,23,19,13,7
PITT,1083,50,57,88,107,103,112,88,98,87,125,101,67
POLK,146,9,2,12,11,16,18,9,14,15,23,14,3
RANDOLPH,702,25,33,50,60,80,65,54,36,95,102,47,55
RICHMOND,261,8,13,26,30,27,33,10,15,28,26,26,19
ROBESON,530,18,35,49,50,49,54,43,54,33,57,55,33
ROCKINGHAM,528,20,28,30,42,66,54,37,48,58,77,37,31
ROWAN,750,24,19,48,73,84,70,49,65,100,113,57,48
RUTHERFORD,406,23,14,31,29,44,37,37,39,43,60,24,25
SAMPSON,331,16,19,32,34,38,38,22,23,21,41,23,24
SCOTLAND,225,8,10,16,28,20,20,17,18,21,21,27,19
STANLY,370,10,14,26,41,40,36,23,17,52,50,33,28
STOKES,189,5,8,9,26,16,17,13,14,25,31,15,10
SURRY,480,19,15,37,38,39,60,35,39,66,68,34,30
SWAIN,127,3,3,12,11,15,16,10,6,15,17,10,9
TRANSYLVANIA,195,6,4,12,16,20,22,13,18,21,28,16,19
TYRRELL,19,2,2,0,1,4,2,2,0,1,3,2,0
UNION,987,35,36,89,84,91,106,68,95,100,134,80,69
VANCE,204,13,7,15,27,21,29,14,17,17,13,19,12
WAKE,6759,274,304,489,623,694,744,486,543,661,880,559,502
WARREN,67,3,3,3,10,10,7,5,8,5,5,5,3
WASHINGTON,37,2,5,2,4,3,5,6,3,4,1,1,1
WATAUGA,395,16,11,23,23,36,44,31,53,52,62,19,25
WAYNE,836,35,64,68,79,104,63,72,74,62,89,66,60
WILKES,352,15,19,27,40,32,42,20,25,42,41,22,27
WILSON,491,13,17,38,46,56,64,36,42,44,59,46,30
YADKIN,249,15,14,14,21,11,29,21,25,19,37,27,16
YANCEY,113,4,5,8,8,12,13,13,12,14,14,5,5